"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","37/662","384/19443",1.38097501945301e-08,4.59356413128693e-05,3.97120623160746e-05,"Eif5/Wbp11/Abce1/Ddx18/Snrpd1/Strap/Nhp2/Lyar/Xpo1/Riok1/Pa2g4/Ruvbl2/Bop1/Wdr36/Eif2s3x/Pak1ip1/Nop14/Nol6/Nop16/Suv39h1/Cpsf6/Exosc8/Gtf2h5/Aatf/Eral1/Rexo4/Adar/Ipo4/Hsp90aa1/Dkc1/Ipo9/Ddx21/Ftsj3/Wdr75/Znhit3/Ddx49/Eif2s2",37
"GO:0006520","cellular amino acid metabolic process","28/662","247/19443",2.67894854029468e-08,4.59356413128693e-05,3.97120623160746e-05,"Prdx4/Ass1/Gart/Ahcy/Got2/Sephs2/Txnrd1/Qdpr/Gars/Farsa/Iars/Odc1/Ppat/Nars/Gfpt1/Yars2/Pcmt1/Gcsh/Spr/Gls/Mthfd1/Enoph1/Hars/Cad/Pycr2/Blmh/Psat1/Tars",28
"GO:0006913","nucleocytoplasmic transport","30/662","283/19443",3.97539085355858e-08,4.59356413128693e-05,3.97120623160746e-05,"Kpna2/Abce1/Akt1/Calr/Xpo1/Hspa9/Nup155/Pom121/Thoc1/Nfkbia/Xbp1/Tardbp/Nol6/Flna/Ipo5/Cpsf6/Xpot/Adar/Ipo4/Nup133/Atxn1/Ipo9/Kpnb1/Sfn/Ppp1cc/Phax/Ddx39/Ranbp3/Iws1/Eny2",30
"GO:0051169","nuclear transport","30/662","283/19443",3.97539085355858e-08,4.59356413128693e-05,3.97120623160746e-05,"Kpna2/Abce1/Akt1/Calr/Xpo1/Hspa9/Nup155/Pom121/Thoc1/Nfkbia/Xbp1/Tardbp/Nol6/Flna/Ipo5/Cpsf6/Xpot/Adar/Ipo4/Nup133/Atxn1/Ipo9/Kpnb1/Sfn/Ppp1cc/Phax/Ddx39/Ranbp3/Iws1/Eny2",30
"GO:0072594","establishment of protein localization to organelle","36/662","396/19443",9.52216812849719e-08,8.8022922179828e-05,7.60971583490007e-05,"Cct7/Kpna2/Sec61a1/Dnaja1/Timm8a1/Pex19/Akt1/Cct5/Nup155/Tram2/Sec63/Pom121/Nfkbia/Xbp1/Ruvbl2/Srpr/Tardbp/Tram1/Tomm40/Flna/Rab8b/Ipo5/Cct2/Adar/Gnptab/Ipo4/Nup133/Hsp90aa1/Dkc1/Tspo/Timm44/Ipo9/Cct3/Kpnb1/Rab11a/Spcs3",36
"GO:0006457","protein folding","20/662","148/19443",1.51888076993419e-07,0.000117004448643931,0.000101152129871407,"Cct7/Prdx4/Dnaja1/Pex19/Dnaja2/Cct5/Calr/Hspa9/Canx/Erp44/Dnajb6/Ppih/Cct2/Dnajc5/Ppig/P4hb/Hsp90aa1/Ppif/Cct3/Nudcd2",20
"GO:0042254","ribosome biogenesis","28/662","272/19443",2.08198572774079e-07,0.000137470543337399,0.000118845380789535,"Wbp11/Abce1/Ddx18/Nhp2/Lyar/Xpo1/Riok1/Pa2g4/Bop1/Wdr36/Pak1ip1/Nop14/Nol6/Nop16/Suv39h1/Exosc8/Gtf2h5/Aatf/Eral1/Rexo4/Ipo4/Dkc1/Ipo9/Ddx21/Ftsj3/Wdr75/Znhit3/Ddx49",28
"GO:0051168","nuclear export","18/662","132/19443",5.51415834209941e-07,0.000318580498214793,0.00027541769824486,"Abce1/Calr/Xpo1/Hspa9/Nup155/Thoc1/Nol6/Cpsf6/Xpot/Adar/Nup133/Atxn1/Sfn/Phax/Ddx39/Ranbp3/Iws1/Eny2",18
"GO:1901605","alpha-amino acid metabolic process","21/662","180/19443",9.11192706213252e-07,0.000442092950415711,0.000382196096421699,"Prdx4/Ass1/Gart/Ahcy/Got2/Sephs2/Txnrd1/Qdpr/Odc1/Ppat/Gfpt1/Pcmt1/Gcsh/Spr/Gls/Mthfd1/Enoph1/Cad/Pycr2/Blmh/Psat1",21
"GO:0034502","protein localization to chromosome","14/662","85/19443",9.9917600679256e-07,0.000442092950415711,0.000382196096421699,"Cct7/Rad21/Cdca5/Bub3/Cct5/Ruvbl2/Aurkb/Bod1/Cct2/Pphln1/Dkc1/Cct3/Cdk1/Cenpa",14
