"","CTRL_1","CTRL_2","CTRL_3","EXPD4_1","EXPD4_2","EXPD4_3","TPA_1","TPA_2"
"",4.24189922904874,4.27220725244272,4.08870890652208,4.1006108548329,3.91459059938335,3.9500595936768,3.94763864773217,3.98199715800195
"0610005C13Rik",3.99965244331577,3.5560572776824,3.5096269996441,3.60514401784911,2.98577172250882,3.01205396324725,3.03955005896664,3.19490730700424
"0610006L08Rik",4.20463524928541,4.22397468205482,3.35253972146486,3.99828546993707,3.73397038486801,3.58110152631807,3.588283874098,3.57247073080061
"0610007C21Rik",7.31380397695072,8.09264094130824,8.56484219134211,7.50908942824277,7.77707350376472,8.64329484663594,7.99441285652272,8.20145466863634
"0610007L01Rik",5.96418513360955,6.1559144902902,6.26176442490013,6.50376877260971,7.20543784322014,6.43167388714772,6.91340906826651,6.80860420829733
"0610007P08Rik",4.44234255218733,4.63440839512902,4.46785045282118,4.56095182559836,4.4917132539231,4.73280532896298,4.82438034908972,4.37137477443708
"0610007P14Rik",4.75170482175627,4.85322471140138,5.30185703372861,5.36704558277614,6.5622025098011,5.91505882539773,6.11605965012597,5.97996604971456
"0610007P22Rik",4.99725875498088,5.62633939627652,6.16745682406972,5.54792285608725,6.03713637466388,6.17554686356078,6.00580047129455,5.66760657768578
"0610008F07Rik",4.75903632222315,4.7802534338713,4.32855423227479,4.35593744262618,3.99274325820662,4.03691442637552,3.88789748861214,4.29565837526733
"0610009B14Rik",4.87211395568059,4.87701922697485,4.63937222690809,4.5724038845807,4.15470197933168,4.40872822745016,4.38578792865546,4.26222731531816
"0610009B22Rik",6.48967801358636,6.00718032053326,6.45733785192098,7.16823621461634,7.5039486523616,7.33643311399341,7.12195332377379,7.75871080296207
"0610009D07Rik",4.10178948456603,4.97645451720593,5.71388329338994,5.31473647541334,6.30660518315431,5.76291557118852,6.14600284718129,5.87398676754407
"0610009L18Rik",5.46700180898239,4.49640836076785,5.3119565467126,4.95006011289633,5.17523776164142,4.68333575146872,5.01012840605556,5.19926041411792
"0610009O20Rik",6.06828424977723,5.50505860010847,5.8388048052975,5.56546504870355,5.13838222122482,5.93085513334506,5.66033431520805,5.49527853104373
"0610010B08Rik /// Gm14295 /// LOC627901",4.18984472092079,4.13582560042607,4.31251326849613,4.26482207326481,4.66308555356951,5.59026128457958,4.02188670829391,5.23362629175812
