"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03013","RNA transport","24/394","184/8918",1.70606940822247e-06,0.0002659796232858,0.000204230929199262,"217869/56347/20901/21335/103573/170762/107939/225160/13665/26987/230908/26905/13664/73192/70699/69912/226982/13685/234865/16211/20220/56698/230721/67204",24
"mmu04141","Protein processing in endoplasmic reticulum","23/394","172/8918",1.82177824168356e-06,0.0002659796232858,0.000204230929199262,"53421/12334/15502/19089/56445/12317/56228/140740/13665/22433/12330/66105/72265/223455/13002/18453/15519/67819/94232/81910/12282/216197/19359",23
"mmu05012","Parkinson disease","28/394","247/8918",3.98975404577898e-06,0.000388336060455821,0.000298181618158219,"12858/23996/68197/66916/67951/67126/16593/12313/56228/13665/22433/26444/225887/17992/12367/17161/70247/69077/66414/14678/11740/26443/105675/12868/66377/68198/17463/66218",28
"mmu05014","Amyotrophic lateral sclerosis","35/394","369/8918",1.45799079579983e-05,0.00106433328093388,0.000817242209224641,"12858/23996/68197/66916/67951/67126/16593/170762/107939/13665/22433/26444/230908/225887/17992/26397/53333/12367/70247/69077/70699/69912/66414/234865/103172/26443/67819/12868/66377/68198/94232/641340/17463/20655/66218",35
"mmu05010","Alzheimer disease","34/394","369/8918",3.54299045366912e-05,0.00206910642494277,0.00158875150869794,"12858/12334/23996/68197/66916/67951/11938/67126/11651/16593/12313/13665/22433/15925/26444/225887/17992/18798/12367/18033/70247/69077/14682/66414/11740/26443/105675/12868/66377/68198/641340/17463/16653/66218",34
"mmu05022","Pathways of neurodegeneration - multiple diseases","40/394","472/8918",4.95425323513788e-05,0.00211487381142526,0.00162389373407924,"12858/12334/23996/68197/66916/67951/11938/67126/16593/12313/56228/13665/22433/26444/230908/225887/17992/18798/26397/53333/12367/18033/70247/69077/14682/66414/11740/26443/67819/20238/105675/12868/19122/66377/68198/641340/17463/20655/16653/66218",40
"mmu05020","Prion disease","27/394","268/8918",5.0699029725948e-05,0.00211487381142526,0.00162389373407924,"12858/23996/68197/66916/67951/67126/16593/13665/26444/225887/17992/12913/12367/11909/70247/69077/66414/11740/26443/105675/12868/19122/66377/68198/17463/20655/66218",27
"mmu05016","Huntington disease","29/394","302/8918",6.4509412945813e-05,0.00235459357252217,0.00180796117861292,"12858/23996/68197/66916/67951/67126/16593/20022/26444/225887/17992/12913/18798/12367/70247/69077/14682/66414/11740/26443/105675/12868/66377/68198/641340/17463/20655/66218/20656",29
"mmu05135","Yersinia infection","17/394","134/8918",8.02992450540034e-05,0.00260526439508544,0.00200043733292429,"11867/11651/20111/16885/17874/18035/14281/20779/68089/26397/19303/16412/18033/14682/19229/109333/67771",17
"mmu04668","TNF signaling pathway","15/394","113/8918",0.000125333189793865,0.00365972914198085,0.00281010204485191,"16477/12702/11651/17392/18035/16449/14281/15894/12913/26397/12367/11909/18033/56613/22031",15
"mmu05415","Diabetic cardiomyopathy","22/394","211/8918",0.000153210374085968,0.00406703902119115,0.00312285260098672,"12858/68197/66916/11938/67126/11651/21812/14782/225887/17992/18798/18033/14583/66414/20525/11740/105675/12868/66377/68198/19047/66218",22
"mmu04666","Fc gamma R-mediated phagocytosis","13/394","92/8918",0.000186465986136353,0.00453733899598459,0.0034839697409687,"17118/11867/11651/16885/14389/58988/68089/56632/53357/17357/67771/17909/227753",13
"mmu05222","Small cell lung cancer","13/394","93/8918",0.00020826335963676,0.0046779154626103,0.00359191057511173,"11651/54124/18035/94216/16782/16403/12830/12367/16412/16774/18033/22031/16400",13
"mmu05166","Human T-cell leukemia virus 1 infection","24/394","247/8918",0.000230697868396944,0.0048116983979934,0.00369463503522925,"11651/12237/14283/12317/12428/103573/18045/18035/21812/19385/12330/14281/15894/12913/14534/11909/18033/20525/11740/12257/107995/12442/16653/71810",24
"mmu05145","Toxoplasmosis","14/394","110/8918",0.000327341093771828,0.00635111269448777,0.00487666547918491,"11651/17874/18035/16782/16835/16403/26397/12367/16412/16774/18033/14678/105675/20846",14
"mmu04932","Non-alcoholic fatty liver disease","17/394","151/8918",0.000348006175040426,0.00635111269448777,0.00487666547918491,"12858/68197/66916/12702/11651/13665/22433/14281/225887/17992/12367/18033/66414/12868/66377/68198/66218",17
"mmu05161","Hepatitis B","17/394","163/8918",0.000844640690725459,0.0145079459818726,0.0111398431656051,"11651/12428/18538/17874/18035/21812/14281/20779/12913/26397/12367/11909/18033/19229/20846/22031/16653",17
"mmu05017","Spinocerebellar ataxia","15/394","141/8918",0.001374593722661,0.0211540824189214,0.0162430409344999,"23996/11938/11651/22433/26444/18798/70247/69077/14682/11740/26443/20238/105675/641340/17463",15
"mmu05417","Lipid and atherosclerosis","20/394","216/8918",0.00137646426698461,0.0211540824189214,0.0162430409344999,"12368/11651/12313/17392/17874/18035/13665/22433/16835/14281/20779/15894/18798/26397/12367/18033/15519/22031/16653/20656",20
"mmu04926","Relaxin signaling pathway","14/394","129/8918",0.00162455519090424,0.0237185057872019,0.0182121187190844,"11651/18035/21812/94216/20416/14281/20779/12913/18798/12830/11909/18033/14678/16653",14
"mmu04935","Growth hormone synthesis, secretion and action","13/394","116/8918",0.00176347450362205,0.0245206930979828,0.0188280736476941,"16477/12702/11651/20416/14281/12913/18798/26397/11909/14682/14678/20846/16653",13
"mmu03040","Spliceosome","14/394","134/8918",0.00233099584202728,0.0299701483016391,0.0230124065906601,"60321/20641/20462/225160/56194/68479/20639/66101/231889/66642/56070/66585/319322/20624",14
"mmu00330","Arginine and proline metabolism","8/394","54/8918",0.002360662366225,0.0299701483016391,0.0230124065906601,"14719/20229/228608/18263/17161/56752/66054/69051",8
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate","4/394","14/8918",0.00263818342380583,0.0320978983229709,0.0246461872487124,"14595/53625/20444/20441",4
