"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04512","ECM-receptor interaction","4/27","88/8918",0.000130623463516819,0.00520016940710604,0.00441176980335783,"16419/94216/12830/114249",4
"mmu04666","Fc gamma R-mediated phagocytosis","4/27","92/8918",0.000155228937525553,0.00520016940710604,0.00441176980335783,"14389/56632/53357/227753",4
"mmu04974","Protein digestion and absorption","3/27","108/8918",0.00408933583026959,0.0913285002093542,0.0774821525735291,"94216/12830/70008",3
"mmu04071","Sphingolipid signaling pathway","3/27","124/8918",0.00601537645126329,0.10075755555866,0.0854816653600572,"14389/26931/56632",3
"mmu04151","PI3K-Akt signaling pathway","4/27","359/8918",0.0217799945470424,0.214222026847593,0.181743746265044,"16419/94216/12830/26931",4
"mmu04510","Focal adhesion","3/27","201/8918",0.0221639835724221,0.214222026847593,0.181743746265044,"16419/94216/12830",3
"mmu05165","Human papillomavirus infection","4/27","362/8918",0.022381405790047,0.214222026847593,0.181743746265044,"16419/94216/12830/26931",4
"mmu05222","Small cell lung cancer","2/27","93/8918",0.0318905968670078,0.21435774878965,0.181858891353356,"94216/12830",2
"mmu04350","TGF-beta signaling pathway","2/27","95/8918",0.0331620691272326,0.21435774878965,0.181858891353356,"14313/68799",2
"mmu04933","AGE-RAGE signaling pathway in diabetic complications","2/27","101/8918",0.0370945099763385,0.21435774878965,0.181858891353356,"94216/12830",2
"mmu03015","mRNA surveillance pathway","2/27","102/8918",0.0377667807541107,0.21435774878965,0.181858891353356,"26931/20220",2
"mmu05146","Amoebiasis","2/27","107/8918",0.0411984507565912,0.21435774878965,0.181858891353356,"94216/12830",2
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/27","14/8918",0.041591802003962,0.21435774878965,0.181858891353356,"20441",1
