ENTREZID	log2FoldChange
70008	-1.822420983856
229595	-1.09110073455152
11529	-2.04462386516391
71345	-1.61586469825226
12014	-1.68136474101685
22385	-1.15577788909123
55984	-1.01527032632742
53599	-1.18411715998369
12554	-1.73092999209361
12830	-1.05326643082825
94216	-1.58883146213989
94216	-1.58883146213989
94216	-2.0883047956993
94216	-2.0883047956993
121021	-1.44368454660516
121021	-1.12035325967855
13170	-2.14278476939665
22240	-1.89854036080813
171211	-1.1199987405866
13731	-1.1724337646135
268882	-1.20514374931029
14313	-1.6482944264691
14389	-1.21380957319158
227753	-2.36424174461192
227753	-1.3079390174283
107999	-1.00828185058279
231279	-1.49948380267994
15414	-1.11545975382917
15426	-1.49441357317561
16170	-1.10241447180792
16181	-1.30318578108819
16419	-1.27395511100048
16419	-1.48375295483677
107250	-1.70634862654664
406220	-5.68747622721436
74127	-1.96269133329331
210126	-1.1746529891633
72289	-1.03216613957867
17268	-1.10117554391082
100504195	-1.96173345768877
17937	-1.06930300641071
114249	-1.2106245912063
216134	-1.05807782399101
67182	-1.34024278915294
68770	-1.63014685098113
18768	-1.74924744685761
53357	-1.57434131278127
116939	-1.49042594129617
26931	-1.60197426670072
68799	-1.02654416808243
20220	-1.09218050783867
108151	-1.72739442332577
26456	-1.11181220244099
56632	-1.65623918018706
56013	-1.18592435918798
20441	-1.16459144246742
64009	-1.59226656237342
64009	-1.11074901802185
69694	-1.02024096480375
21452	-1.16410277862642
69009	-2.02968615129635
21858	-1.2407674756234
74868	-1.18122698779078
29820	-1.97225531316664
24100	-1.12455131841463
80890	-1.44068114489042
80890	-1.92446590751949
