"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"1","ENSG00000001617",4108.45502189361,0.256176550416357,0.0772443325403956,3.31644461142035,0.000911706575129604,0.00863186817944567,"SEMA3F","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"2","ENSG00000003137",117.628445894444,1.63254590856173,0.207445926981362,7.86974192416133,3.55373572891074e-15,4.93371441616533e-13,"CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"3","ENSG00000003400",378.645467293844,0.339392545217506,0.119362725914598,2.84337126700956,0.00446390382090856,0.0298296406925761,"CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"4","ENSG00000003402",1419.35519438407,-0.232170501225601,0.0753145525079799,-3.0826778291088,0.00205147118487179,0.0164549700060855,"CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"5","ENSG00000003756",902.105989439365,0.285299082263893,0.0952019897886155,2.99677646336348,0.00272850706781057,0.0204397238993071,"RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"6","ENSG00000003989",143.221252968446,-0.666985750656697,0.186367181647434,-3.57887984762516,0.000345070057624438,0.00389811080305021,"SLC7A2","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"7","ENSG00000004534",1440.02325415021,-0.253419433445355,0.0851654853364125,-2.9756119212416,0.00292404630314082,0.0216318266101379,"RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"8","ENSG00000004866",344.96533735217,-0.310273046909682,0.117642027500273,-2.63743369187479,0.00835359553283846,0.0480234758669951,"ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]"
"9","ENSG00000004897",4547.56609927378,-0.217888672832023,0.0777419050584555,-2.80271846526258,0.00506738832615744,0.0329724282019574,"CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]"
"10","ENSG00000005007",3288.61555607908,0.280576120307804,0.078141346771338,3.59062304273872,0.000329888452761484,0.00376093090235752,"UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]"
"11","ENSG00000005243",132.862807572088,0.503077195256684,0.184333464968438,2.72916909223629,0.00634941373391908,0.0390076679145442,"COPZ2","COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"12","ENSG00000005339",921.45561964226,-0.363670006346186,0.115743180037551,-3.14204263463471,0.00167773603793045,0.014128553766132,"CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"13","ENSG00000005812",1591.38674403365,-0.553987030671697,0.074994541139684,-7.38703140592389,1.5014314466162e-13,1.59312600996312e-11,"FBXL3","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
"14","ENSG00000005889",1157.82426858777,-0.384073013062593,0.0876844818824393,-4.38017086737798,1.18586284447179e-05,0.000229673957687464,"ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"
"15","ENSG00000006327",4421.88463902421,-0.244562690437677,0.0882449148520987,-2.77140831114826,0.00558143888782628,0.0355541486615178,"TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"16","ENSG00000006451",2233.97490427465,-0.206718912561361,0.0753542839271834,-2.74329343718691,0.00608263036384215,0.0377935453234899,"RALA","RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]"
"17","ENSG00000006453",1343.48977456448,-0.426777848710447,0.0825894167998206,-5.16746412854406,2.37291490309277e-07,7.17915496648535e-06,"BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]"
"18","ENSG00000006555",283.498649686464,0.461985265790165,0.130328277549557,3.5447814893011,0.000392938687471331,0.00434955603754592,"TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"19","ENSG00000006712",1532.5973884647,-0.221377797639962,0.0844244508194417,-2.62220003199573,0.00873641373550709,0.0496668297133402,"PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"
"20","ENSG00000007944",87.8872503392336,0.80244490579348,0.223396413875974,3.59202232422131,0.000328121733209213,0.00374942180524835,"MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]"
"21","ENSG00000007968",84.9887543870393,1.83030772713449,0.24007604360244,7.62386658689461,2.46187812049065e-14,2.99763930163022e-12,"E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"22","ENSG00000008083",1838.01438263518,-0.32120518687245,0.08804848540732,-3.6480489742274,0.000264239277340592,0.00315536532547789,"JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]"
"23","ENSG00000008086",115.215317043331,-0.571860289925632,0.211234029322768,-2.70723562751257,0.00678460841964057,0.0410363835805214,"CDKL5","cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"24","ENSG00000008282",3273.82272619686,0.313830930739557,0.0807870731579607,3.88466766367352,0.000102469958692119,0.00142660846895167,"SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]"
"25","ENSG00000008323",67.9796892508882,0.986090404364328,0.272256782728573,3.62191308690888,0.000292432378650607,0.00340178777200843,"PLEKHG6","pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]"
"26","ENSG00000008513",476.586706807054,-0.720951364984268,0.104006369668997,-6.93180011261535,4.15518815788867e-12,3.3915011035954e-10,"ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]"
"27","ENSG00000008735",78.292785562856,0.943814715894191,0.287224565611076,3.28598187235903,0.00101627550029665,0.00940023197814869,"MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]"
"28","ENSG00000008853",597.384369631796,-0.572550233411859,0.108175704579334,-5.2927802563279,1.20470645778519e-07,3.9946237567855e-06,"RHOBTB2","Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]"
"29","ENSG00000008952",2353.04471201668,-0.22803897681109,0.0829727600722435,-2.74835954128245,0.00598942908301033,0.0373365375695,"SEC62","SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]"
"30","ENSG00000010030",34.1820895301313,1.01486966514031,0.366316116218548,2.77047506295034,0.00559745861898678,0.0356157053834976,"ETV7","ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]"
"31","ENSG00000010072",804.077882065744,-0.273534781346243,0.0868440402168295,-3.14972427196259,0.00163424620578273,0.0138676546760196,"SPRTN","SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]"
"32","ENSG00000010270",639.907860773664,-0.300539619195282,0.10116295911754,-2.97084646215309,0.00296980213747956,0.021861452305381,"STARD3NL","STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]"
